Region;Provincia;Municipio;DistritoMunicipal;Seccion;Barrio;SubBarrio;Nombre
10;1;0;0;0;0;0;Distrito Nacional
10;1;1;0;0;0;0;Santo Domingo de Guzman
10;1;1;1;0;0;0;Santo Domingo de Guzman
10;1;1;1;1;0;0;Santo Domingo de Guzman (Zona urbana)
10;1;1;1;1;1;0;Los Peralejos
10;1;1;1;1;1;1;Los Peralejos
10;1;1;1;1;1;2;Los angeles
10;1;1;1;1;1;3;Brisas del Norte
10;1;1;1;1;2;0;Palma Real
10;1;1;1;1;2;1;Palma Real
10;1;1;1;1;2;2;Los Girasoles I
10;1;1;1;1;2;3;Los Girasoles II
10;1;1;1;1;2;4;Los Girasoles III
10;1;1;1;1;2;5;Colinas de Arroyo Hondo
10;1;1;1;1;2;6;Don Panchito
10;1;1;1;1;2;7;Villa Maria
10;1;1;1;1;2;8;Fundacion
10;1;1;1;1;3;0;Arroyo Manzano
10;1;1;1;1;3;1;Arroyo Manzano
10;1;1;1;1;3;2;La Meseta
10;1;1;1;1;3;3;Villa Progreso
10;1;1;1;1;3;4;Cuesta Brava
10;1;1;1;1;3;5;Urbanizacion Arroyo Manzano
10;1;1;1;1;3;6;Buena Vista
10;1;1;1;1;3;7;Puerta de Hierro
10;1;1;1;1;3;8;Madre Vieja
10;1;1;1;1;3;9;Residencial Colina Bella
10;1;1;1;1;3;10;Residencial Irene
10;1;1;1;1;3;11;Residencial San Francisco de Asis
10;1;1;1;1;4;0;Altos de Arroyo Hondo
10;1;1;1;1;4;1;Altos de Arroyo Hondo
10;1;1;1;1;4;2;Ciudad Real
10;1;1;1;1;4;3;Carmen Maria
10;1;1;1;1;4;4;Reparto Miguelina
10;1;1;1;1;4;5;Villa Claudia
10;1;1;1;1;4;6;Villa Isabel
10;1;1;1;1;4;7;Villa Amanda
10;1;1;1;1;4;8;La Ceiba
10;1;1;1;1;4;9;Kilometro XI
10;1;1;1;1;4;10;Residencial Condado
10;1;1;1;1;4;11;Don Honorio
10;1;1;1;1;4;12;Pinos Norte
10;1;1;1;1;4;13;Los Guayuyos
10;1;1;1;1;4;14;El Ducado
10;1;1;1;1;4;15;Las Colinas del Seminario I
10;1;1;1;1;4;16;Las Ochocientas
10;1;1;1;1;4;17;Mirador de Girasoles
10;1;1;1;1;4;18;Residencial Madelaine
10;1;1;1;1;4;19;Residencial Nueva Terraza
10;1;1;1;1;4;20;Residencial Amapola
10;1;1;1;1;4;21;Ciudad Real II
10;1;1;1;1;5;0;Los Rios
10;1;1;1;1;5;1;Los Rios
10;1;1;1;1;5;2;Colinas de Los Rios
10;1;1;1;1;5;3;Residencial Colinas del Seminario
10;1;1;1;1;5;4;Pradera Hermosa
